nwikiproject,start_ts,end_ts,tcount
21,1141460429,1157012429,10
21,1157012429,1172564429,11
21,1172564429,1188116429,12
21,1188116429,1203668429,13
21,1203668429,1219220429,14
21,1219220429,1234772429,15
21,1234772429,1250324429,16
21,1250324429,1265876429,17
21,1265876429,1281428429,18
21,1281428429,1296980429,19
21,1296980429,1312532429,20
21,1312532429,1328084429,21
21,1328084429,1343636429,22
21,1343636429,1359188429,23
21,1359188429,1374740429,24
21,1374740429,1390292429,25
21,1390292429,1405844429,26
21,1405844429,1421396429,27
21,1421396429,1433341432,28
22,1001492429,1017044429,1
22,1017044429,1032596429,2
22,1032596429,1048148429,3
22,1048148429,1063700429,4
22,1063700429,1079252429,5
22,1079252429,1094804429,6
22,1094804429,1110356429,7
22,1110356429,1125908429,8
22,1125908429,1141460429,9
22,1141460429,1157012429,10
22,1157012429,1172564429,11
22,1172564429,1188116429,12
22,1188116429,1203668429,13
22,1203668429,1219220429,14
22,1219220429,1234772429,15
22,1234772429,1250324429,16
22,1250324429,1265876429,17
22,1265876429,1281428429,18
22,1281428429,1296980429,19
22,1296980429,1312532429,20
22,1312532429,1328084429,21
22,1328084429,1343636429,22
22,1343636429,1359188429,23
22,1359188429,1374740429,24
22,1374740429,1390292429,25
22,1390292429,1405844429,26
22,1405844429,1421396429,27
22,1421396429,1433341432,28
23,1001492429,1017044429,1
23,1017044429,1032596429,2
23,1032596429,1048148429,3
23,1048148429,1063700429,4
23,1063700429,1079252429,5
23,1079252429,1094804429,6
23,1094804429,1110356429,7
23,1110356429,1125908429,8
23,1125908429,1141460429,9
23,1141460429,1157012429,10
23,1157012429,1172564429,11
23,1172564429,1188116429,12
23,1188116429,1203668429,13
23,1203668429,1219220429,14
23,1219220429,1234772429,15
23,1234772429,1250324429,16
23,1250324429,1265876429,17
23,1265876429,1281428429,18
23,1281428429,1296980429,19
23,1296980429,1312532429,20
23,1312532429,1328084429,21
23,1328084429,1343636429,22
23,1343636429,1359188429,23
23,1359188429,1374740429,24
23,1374740429,1390292429,25
23,1390292429,1405844429,26
23,1405844429,1421396429,27
23,1421396429,1433341432,28
24,1001492429,1017044429,1
24,1017044429,1032596429,2
24,1032596429,1048148429,3
24,1048148429,1063700429,4
24,1063700429,1079252429,5
24,1079252429,1094804429,6
24,1094804429,1110356429,7
24,1110356429,1125908429,8
24,1125908429,1141460429,9
24,1141460429,1157012429,10
24,1157012429,1172564429,11
24,1172564429,1188116429,12
24,1188116429,1203668429,13
24,1203668429,1219220429,14
24,1219220429,1234772429,15
24,1234772429,1250324429,16
24,1250324429,1265876429,17
24,1265876429,1281428429,18
24,1281428429,1296980429,19
24,1296980429,1312532429,20
24,1312532429,1328084429,21
24,1328084429,1343636429,22
24,1343636429,1359188429,23
24,1359188429,1374740429,24
24,1374740429,1390292429,25
24,1390292429,1405844429,26
24,1405844429,1421396429,27
24,1421396429,1433341432,28
25,1001492429,1017044429,1
25,1017044429,1032596429,2
25,1032596429,1048148429,3
25,1048148429,1063700429,4
25,1063700429,1079252429,5
25,1079252429,1094804429,6
25,1094804429,1110356429,7
25,1110356429,1125908429,8
25,1125908429,1141460429,9
25,1141460429,1157012429,10
25,1157012429,1172564429,11
25,1172564429,1188116429,12
25,1188116429,1203668429,13
